filename,category,original_filename,source,creator,source_url,licence,commercial_use_allowed,attribution_required,content_id_registered,date_downloaded,date_generated,prompt,notes
countdown-beep.mp3,effect,short-beep-countdown-81121.mp3,Pixabay,gurie (Freesound),https://pixabay.com/sound-effects/film-special-effects-short-beep-countdown-81121/,Pixabay Content License,Yes,No,No,2026-07-05,,,"Used during the 3-2-1-GO session countdown. Duration approximately 4 seconds."
session-complete.mp3,effect,soundshelfstudio-mission-complete-chime-534595.mp3,Pixabay,SoundShelfStudio,https://pixabay.com/sound-effects/film-special-effects-mission-complete-chime-534595/,Pixabay Content License,Yes,No,No,2026-07-05,,,"Used when the survivor completes the final repetition and the rehabilitation session ends. Duration approximately 2 seconds."
hold-complete.wav,effect,hold-complete.wav,Adobe Firefly,AI-generated,https://firefly.adobe.com/generate/sound-effects,Adobe Firefly Generative AI Terms,Yes,No,No,2026-07-05,2026-07-05,"A short soft rising chime indicating that a rehabilitation hold has been completed successfully. Calm and reassuring, smooth digital tone, no voice, no arcade style, approximately one second.","Generated specifically for AI-DRA and used when the required hold duration is completed."
pause.mp3,effect,mouse-tap-single-studio-vocal-hd-379364.mp3,Pixabay,VirtualZero,https://pixabay.com/sound-effects/film-special-effects-mouse-tap-single-studio-vocal-hd-379364/,Pixabay Content License,Yes,No,No,2026-07-05,,,"AI-generated sound uploaded to Pixabay. Used as the pause interface sound in AI-DRA. Duration approximately 1 second."
tracking-lost.wav,effect,tracking-lost.wav,Adobe Firefly,AI-generated,https://firefly.adobe.com/generate/sound-effects,Adobe Firefly Generative AI Terms,Yes,No,No,2026-07-05,2026-07-05,"A quiet neutral attention tone for a healthcare rehabilitation application when camera tracking is temporarily lost. Soft, calm and non-alarming, one gentle tone, no harsh buzzer, no failure sound, under one second.","Generated specifically for AI-DRA and played when body or hand tracking is temporarily lost."
rep-complete.wav,effect,rep-complete.wav,Adobe Firefly,AI-generated,https://firefly.adobe.com/generate/sound-effects,Adobe Firefly Generative AI Terms,Yes,No,No,2026-07-05,2026-07-05,"A very short gentle positive confirmation chime for a healthcare rehabilitation application. Two soft clean notes, warm and reassuring, subtle, not game-like, no applause, no voice, under one second.","Generated specifically for AI-DRA and played once after each successful repetition."
ready-when-you-are.wav,voice,Ready when you are - Sound Effect [get.gt].mp4,YouTube,Eccentric Sounds,https://www.youtube.com/watch?v=P3puh9DvsYE,Creator permission stated in video description,Unclear,Not stated,No,2026-07-04,,,"Creator states that the custom sound effects are free to use for everyone and describes the upload as copyright free. Converted from video to WAV for use before an AI-DRA exercise session. Retain screenshots of the video page and description."
halfway-there.wav,voice,halfway-there.wav,Adobe Firefly,AI-generated,https://firefly.adobe.com/,Adobe Firefly Generative AI Terms,Yes,No,No,2026-07-05,2026-07-05,"Calm, warm and encouraging voice for an older adult using a stroke rehabilitation application. Clear British English, steady pace, gentle tone, reassuring and respectful, not overly cheerful, not robotic, not patronising. Say: You're halfway there. Keep going at a comfortable pace.","Generated specifically for AI-DRA and played when the survivor reaches the halfway point of the required repetitions."
session-complete.wav,voice,session-complete.wav,Adobe Firefly,AI-generated,https://firefly.adobe.com/,Adobe Firefly Generative AI Terms,Yes,No,No,2026-07-05,2026-07-05,"Calm and positive voice for an older adult finishing a stroke rehabilitation session. Clear British English, warm and reassuring, slightly celebratory but still gentle and professional, slow enough to understand easily, not childish, not dramatic. Say: Great work. Your session is complete. Take a moment to rest.","Generated specifically for AI-DRA and played after the final repetition and session-complete chime."
tracking-lost.wav,voice,tracking-lost.wav,Adobe Firefly,AI-generated,https://firefly.adobe.com/,Adobe Firefly Generative AI Terms,Yes,No,No,2026-07-05,2026-07-05,"Calm, neutral and helpful voice for an older adult using a healthcare rehabilitation application. Clear British English, steady pace, reassuring and non-alarming, no urgency, no blame. Say: I can't see you clearly. Please move back into view of the camera.","Generated specifically for AI-DRA and played when body or hand tracking is temporarily lost."
dashboard-background.mp3,music,soundsurfer-gym-459378.mp3,Pixabay,SoundSurfer,https://pixabay.com/music/beats-gym-459378/,Pixabay Content License,Yes,No,Yes,2026-07-05,,,"Track title: Gym. Duration approximately 1 minute 59 seconds. Used as optional dashboard background music. Content ID registered, so retain the Pixabay download certificate and source evidence."
session-background.mp3,music,soundsurfer-gym-motivation-266207.mp3,Pixabay,SoundSurfer,https://pixabay.com/music/future-bass-gym-motivation-266207/,Pixabay Content License,Yes,No,Yes,2026-07-05,,,"Track title: Gym Motivation. Duration approximately 1 minute 33 seconds. Used as optional rehabilitation-session background music. Content ID registered, so retain the Pixabay download certificate and source evidence."